,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
513,28.5,326.0,70.0,-2080.0,325.0,321.0,6.0,0.0803,13.4,4.0,0.0203,2.94
6408,38.2,325.0,55.0,800.0,324.0,318.0,6.0,0.0227,1.54,4.0,0.0189,2.44
10978,29.5,327.0,16.0,-1840.0,325.0,320.0,3.0,0.0786,9.95,4.0,0.0833,7.9
13865,28.5,327.0,65.0,443.0,325.0,323.0,3.0,0.0749,9.13,3.0,0.0823,6.55
6103,119.0,327.0,0.0,-978.0,326.0,328.0,50.0,0.0321,1.8,4.0,0.017,1.55
8886,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0561,2.42,4.0,0.0218,0.819
14037,27.5,327.0,117.0,686.0,326.0,319.0,3.0,0.0837,7.04,3.0,0.101,9.31
229,29.5,325.0,2.0,691.0,324.0,320.0,6.0,0.106,14.2,4.0,0.0965,7.35
24459,119.0,330.0,0.0,455.0,329.0,330.0,20.0,0.0229,0.791,2.5,0.0163,2.96
17227,27.7,327.0,114.0,454.0,325.0,318.0,3.0,0.0557,2.6,3.0,0.0699,8.86
11549,119.0,330.0,0.0,-1960.0,329.0,330.0,50.0,0.0219,0.473,4.0,0.0207,0.618
19500,96.9,329.0,7.0,2150.0,327.0,330.0,50.0,0.127,29.8,3.0,0.194,50.3
22038,55.7,330.0,0.0,-1720.0,329.0,330.0,50.0,0.0221,1.04,2.5,0.0243,0.95
9248,119.0,327.0,0.0,383.0,326.0,327.0,50.0,0.0274,0.943,4.0,0.0173,2.02
12118,27.5,327.0,119.0,900.0,326.0,324.0,3.0,0.084,8.75,3.0,0.127,11.5
18278,27.7,327.0,110.0,75.3,326.0,320.0,3.0,0.0857,10.0,3.0,0.104,8.54
19403,27.7,327.0,98.0,1670.0,325.0,320.0,6.0,0.0852,8.64,3.0,0.0501,10.3
1040,27.5,326.0,128.0,729.0,324.0,321.0,6.0,0.0918,9.8,4.0,0.138,13.1
15051,28.7,327.0,2.0,2010.0,325.0,316.0,3.0,0.0695,8.13,4.0,0.0737,4.07
6205,29.7,325.0,26.0,-342.0,323.0,316.0,6.0,0.067,4.47,4.0,0.115,14.2
23189,28.7,327.0,71.0,1270.0,326.0,319.0,3.0,0.0806,8.96,2.5,0.0274,1.75
24072,27.7,327.0,120.0,1440.0,326.0,323.0,3.0,0.0936,8.88,2.5,0.126,9.25
10760,54.5,324.0,52.0,1440.0,324.0,316.0,50.0,0.17,64.1,4.0,0.2,36.5
318,29.5,325.0,45.0,1170.0,324.0,317.0,6.0,0.105,18.8,4.0,0.0385,1.25
12423,29.5,327.0,26.0,1350.0,326.0,324.0,3.0,0.0507,3.55,3.0,0.0607,9.55
7893,119.0,327.0,0.0,-2050.0,327.0,327.0,50.0,0.0197,1.11,4.0,0.0197,0.0471
16086,29.7,326.0,29.0,-531.0,325.0,320.0,3.0,0.0907,10.6,4.0,0.0249,2.93
7242,29.7,323.0,45.0,827.0,323.0,315.0,20.0,0.127,33.5,4.0,0.0177,0.744
15329,29.7,327.0,26.0,-830.0,325.0,321.0,3.0,0.055,3.37,4.0,0.141,11.5
5895,29.7,325.0,30.0,-160.0,324.0,319.0,6.0,0.0946,15.2,4.0,0.021,2.0
8996,28.7,324.0,59.0,1460.0,323.0,318.0,12.0,0.123,19.3,4.0,0.0918,14.9
15585,27.7,327.0,122.0,-890.0,326.0,323.0,3.0,0.0572,9.56,4.0,0.0727,8.03
24606,29.7,327.0,2.0,577.0,326.0,319.0,3.0,0.11,10.1,2.5,0.0939,5.37
16377,27.7,327.0,101.0,1350.0,326.0,322.0,3.0,0.1,11.2,4.0,0.0591,7.6
19164,28.7,327.0,66.0,292.0,326.0,321.0,6.0,0.0544,2.12,3.0,0.106,12.5
12575,32.7,329.0,7.0,136.0,327.0,329.0,50.0,0.12,31.8,3.0,0.159,47.1
5372,119.0,328.0,0.0,-978.0,326.0,328.0,50.0,0.0208,1.64,4.0,0.0203,0.617
2614,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
345,29.5,326.0,47.0,1310.0,325.0,314.0,6.0,0.0816,3.59,4.0,0.2,15.3
370,34.8,326.0,54.0,1440.0,325.0,316.0,6.0,0.0247,2.1,4.0,0.0169,1.45
17241,29.7,327.0,19.0,385.0,326.0,320.0,3.0,0.0735,9.42,3.0,0.0462,12.4
16025,119.0,330.0,0.0,-2060.0,328.0,330.0,50.0,0.0248,2.16,4.0,0.0165,1.96
17176,29.7,327.0,37.0,2140.0,326.0,321.0,3.0,0.0982,10.2,3.0,0.136,9.37
1276,119.0,325.0,0.0,905.0,326.0,323.0,50.0,2.78e-19,0.0,4.0,2.69e-19,0.0
12612,27.5,327.0,106.0,-253.0,326.0,322.0,3.0,0.0685,8.42,3.0,0.09,4.44
15178,27.7,327.0,101.0,1380.0,326.0,321.0,3.0,0.0537,8.66,4.0,0.0614,6.64
24516,29.7,327.0,48.0,-473.0,326.0,319.0,3.0,0.0663,4.12,2.5,0.0912,11.3
20498,119.0,330.0,0.0,-273.0,329.0,330.0,50.0,2.78e-19,0.0,3.0,2.78e-19,0.0
19491,29.7,327.0,16.0,-2060.0,326.0,323.0,6.0,0.0751,9.75,3.0,0.119,14.9
22029,27.5,327.0,98.0,1430.0,326.0,324.0,3.0,0.062,7.55,2.5,0.0559,8.51
22097,29.5,327.0,40.0,810.0,326.0,323.0,3.0,0.0753,10.9,2.5,0.0767,6.61
22110,29.5,327.0,43.0,1150.0,325.0,319.0,3.0,0.0723,5.07,2.5,0.145,11.9
17741,28.7,327.0,2.0,401.0,326.0,322.0,3.0,0.0945,9.76,3.0,0.083,5.44
12259,29.5,327.0,48.0,-815.0,325.0,323.0,3.0,0.0443,5.15,3.0,0.105,9.84
6061,55.7,328.0,0.0,231.0,326.0,328.0,50.0,0.0405,3.73,4.0,0.0372,1.32
23964,29.7,327.0,46.0,-820.0,326.0,323.0,3.0,0.0991,10.2,2.5,0.0347,2.95
8205,29.7,323.0,44.0,-1420.0,323.0,314.0,15.0,0.14,26.5,4.0,0.0263,2.74
2822,27.5,327.0,127.0,1370.0,325.0,324.0,6.0,0.104,14.2,3.0,0.0369,2.17
14871,27.7,327.0,125.0,-644.0,326.0,324.0,3.0,0.0447,2.58,4.0,0.094,10.8
15942,29.7,327.0,26.0,-915.0,326.0,320.0,3.0,0.0575,3.49,4.0,0.0789,9.57
11174,28.5,327.0,56.0,1860.0,325.0,319.0,3.0,0.0714,4.41,4.0,0.127,11.1
24588,27.7,327.0,122.0,1710.0,326.0,324.0,3.0,0.0601,9.33,2.5,0.102,7.77
16947,28.7,327.0,77.0,1560.0,326.0,322.0,3.0,0.0652,6.38,3.0,0.103,10.0
9503,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.049,2.92,4.0,0.0243,0.615
18389,119.0,330.0,0.0,42.0,328.0,329.0,50.0,0.0229,1.26,3.0,0.022,2.59
10630,27.5,327.0,119.0,-1120.0,326.0,324.0,3.0,0.0538,3.14,4.0,0.0677,11.1
8275,119.0,328.0,0.0,-2050.0,326.0,327.0,50.0,0.0247,1.13,4.0,0.0274,4.29
10767,29.5,327.0,44.0,938.0,325.0,323.0,3.0,0.0706,3.13,4.0,0.0458,4.66
19256,119.0,330.0,0.0,2150.0,328.0,330.0,50.0,0.024,0.388,3.0,0.0147,0.58
15293,29.7,326.0,29.0,-392.0,325.0,321.0,3.0,0.0883,9.63,4.0,0.0229,3.27
5352,27.7,325.0,128.0,80.2,324.0,317.0,6.0,0.0999,12.3,4.0,0.0368,2.69
6596,29.7,325.0,45.0,-706.0,324.0,321.0,20.0,0.118,32.8,4.0,0.0229,2.89
