,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition
23240,29.7,325.0,0.0956,327.0,-777.0
12480,28.5,325.0,0.0954,326.0,1920.0
7770,28.7,323.0,0.128,324.0,-913.0
10842,55.5,328.0,0.04,330.0,136.0
16390,28.7,325.0,0.108,327.0,-254.0
24481,27.7,326.0,0.0502,327.0,1350.0
24644,27.7,326.0,0.0428,327.0,1800.0
9914,119.0,329.0,0.0212,330.0,-1960.0
7395,28.7,323.0,0.029,324.0,1250.0
7361,119.0,326.0,0.0185,328.0,306.0
16845,28.7,325.0,0.0554,327.0,2040.0
20510,42.7,326.0,0.124,328.0,-927.0
21372,28.5,326.0,0.0983,327.0,-1360.0
1357,28.5,324.0,0.114,325.0,1280.0
17348,27.7,326.0,0.115,327.0,513.0
12474,34.6,326.0,0.0193,327.0,-1330.0
11077,27.5,326.0,0.0999,327.0,1250.0
16002,45.3,324.0,0.0638,326.0,1330.0
19303,27.7,325.0,0.0427,327.0,-1590.0
10918,29.5,326.0,0.0635,327.0,212.0
21522,27.5,326.0,0.105,327.0,-1360.0
3519,29.5,325.0,0.0638,326.0,561.0
2180,119.0,326.0,2.78e-19,325.0,905.0
5595,119.0,327.0,0.0171,328.0,-978.0
15904,28.7,326.0,0.0782,327.0,284.0
21179,27.5,326.0,0.0556,327.0,-1310.0
14607,55.7,328.0,0.055,330.0,22.1
14991,29.7,326.0,0.0964,327.0,1070.0
15988,28.7,326.0,0.0782,327.0,471.0
8329,28.7,323.0,0.0468,324.0,-972.0
10117,27.5,326.0,0.0702,327.0,-2060.0
11559,61.2,328.0,0.116,329.0,-1960.0
16383,28.7,325.0,0.0716,327.0,-19.7
